DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE1,2011,103300,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE10,2011,103300,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE100,2011,103300,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE2,2011,82200,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE21,2011,90600,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE211,2011,91600,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE212,2011,86400,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE213,2011,91200,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE22,2011,71100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE23,2011,78600,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE231,2011,73700,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE232,2011,73700,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE233,2011,70700,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE234,2011,80400,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE235,2011,84100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE236,2011,80900,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE24,2011,90200,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE241,2011,94500,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE242,2011,84000,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE25,2011,73700,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE251,2011,75200,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE252,2011,67200,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE253,2011,69300,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE254,2011,73100,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE255,2011,76600,
ESTAT:NAMA_10R_3NLP(1.0),21/02/23 23:00:00,A,NLPR_PER,EUR,BE256,2011,71800,
